BAC-900,
X,Y
0.0200 , 61.1332
0.0400 , 63.9257
0.0600 , 65.9344
0.0800 , 67.5190
0.1000 , 68.2920
0.1200 , 68.7651
0.1400 , 69.3278
0.1600 , 69.8740
0.1800 , 70.3347
0.2000 , 70.7312
0.2200 , 71.0937
0.2400 , 71.4345
0.2600 , 71.7527
0.2800 , 72.0081
0.3000 , 72.2795
0.3200 , 72.7355
0.3400 , 73.4757
0.3600 , 74.1010
0.3800 , 74.4058
0.4000 , 74.4815
0.4200 , 74.3348
0.4400 , 74.4055
0.4600 , 74.8231
0.4800 , 75.2157
0.5000 , 75.3977
0.5200 , 75.5002
0.5400 , 75.6517
0.5600 , 75.8288
0.5800 , 76.0410
0.6000 , 76.2666
0.6200 , 76.4989
0.6400 , 76.7539
0.6600 , 77.0695
0.6800 , 77.3300
0.7000 , 77.5580
0.7200 , 77.9034
0.7400 , 78.4257
0.7600 , 78.8436
0.7800 , 78.9883
0.8000 , 78.9327
0.8200 , 78.8240
0.8400 , 78.9301
0.8600 , 79.3640
0.8800 , 79.8143
0.9000 , 80.0629
0.9200 , 80.2820
0.9400 , 80.6723
0.9600 , 81.4226
0.9800 , 82.4898
0.9942 , 83.1900
0.0009 , 50.9729
-0.0013 , 41.5777
0.0107 , 57.6810
