BAC-800,
X,Y
0.0338 , 37.8746
0.0229 , 33.1803
0.0065 , 28.4878
0.0667 , 40.8837
0.0788 , 41.5508
0.0996 , 41.5438
0.1204 , 42.2080
0.1402 , 42.5369
0.1599 , 43.5370
0.1807 , 43.8656
0.1994 , 44.1949
0.2498 , 44.1780
0.3013 , 45.1674
0.3529 , 45.4857
0.4022 , 46.1403
0.4505 , 46.4597
0.5020 , 47.4491
0.5502 , 48.1040
0.6007 , 48.4227
0.6522 , 48.7409
0.7015 , 49.7311
0.7520 , 50.3853
0.8024 , 50.7040
0.8200 , 50.6981
0.8517 , 51.3585
0.8737 , 51.6868
0.8978 , 52.3498
0.9252 , 53.0117
0.9504 , 54.0100
0.9745 , 55.0086
0.9932 , 57.3514
