AC-8,
X,Y
0.0400 , 111.9640
0.0600 , 156.0390
0.0800 , 187.1458
0.1000 , 204.1424
0.1200 , 220.5886
0.1400 , 236.9791
0.1600 , 250.2136
0.1800 , 261.5815
0.2000 , 270.7418
0.2200 , 280.0325
0.2400 , 288.2124
0.2600 , 295.0899
0.2800 , 303.0773
0.3000 , 309.9725
0.3200 , 315.5964
0.3400 , 321.5352
0.3600 , 326.7567
0.3800 , 331.8664
0.4000 , 336.9587
0.4200 , 341.5764
0.4400 , 346.6504
0.4600 , 350.9384
0.4800 , 355.2909
0.5000 , 359.6321
0.5200 , 362.2928
0.5400 , 366.3808
0.5600 , 370.1061
0.5800 , 373.2744
0.6000 , 376.3097
0.6200 , 379.5070
0.6400 , 382.6789
0.6600 , 385.0029
0.6800 , 388.4765
0.7000 , 391.4494
0.7200 , 394.1995
0.7400 , 397.2230
0.7600 , 399.0266
0.7800 , 400.7504
0.8000 , 406.8412
0.8200 , 407.2547
0.8400 , 405.1883
0.8600 , 409.6090
0.8800 , 411.1716
0.9000 , 412.7821
0.9200 , 415.8439
0.9400 , 418.0910
0.9600 , 420.1389
0.9875 , 425.1540
0.9736 , 421.9262
0.0287 , 86.7777
