KOH(2.5_1),
X,Y
0.1180 , 58.1637
0.1360 , 62.3328
0.1540 , 65.9257
0.1720 , 69.1147
0.1900 , 71.6709
0.2080 , 74.0378
0.2260 , 76.7224
0.2440 , 78.9033
0.2620 , 80.8230
0.2800 , 82.9598
0.2980 , 84.5221
0.3160 , 86.0638
0.3340 , 87.8379
0.3520 , 89.4579
0.3700 , 90.7665
0.3880 , 92.2820
0.4060 , 93.5216
0.4240 , 94.5711
0.4420 , 95.8770
0.4600 , 97.0270
0.4780 , 98.1329
0.4960 , 99.2392
0.5140 , 100.0895
0.5320 , 101.1892
0.5500 , 102.2244
0.5680 , 103.1428
0.5860 , 103.9752
0.6040 , 104.6592
0.6220 , 105.6731
0.6400 , 106.5209
0.6580 , 107.0106
0.6760 , 107.9842
0.6940 , 108.7978
0.7120 , 109.3425
0.7300 , 110.1943
0.7480 , 110.9538
0.7660 , 111.5803
0.7840 , 112.2304
0.8020 , 112.8779
0.8200 , 113.4649
0.8380 , 114.0180
0.8560 , 114.0435
0.8740 , 114.0615
0.8920 , 114.6418
0.9100 , 115.2010
0.9280 , 115.7740
0.9460 , 116.3505
0.9640 , 116.8744
0.9820 , 117.2313
0.1035 , 53.8475
0.0777 , 46.3637
0.0588 , 38.8745
0.0936 , 51.1265
