NaOH(4_1),
X,Y
0.0588 , 81.8486
0.0777 , 92.0663
0.0965 , 97.5090
0.1074 , 100.9114
0.1154 , 103.6339
0.1342 , 107.0302
0.1550 , 111.1072
0.1739 , 115.1857
0.1937 , 118.5813
0.2463 , 126.0449
0.2939 , 130.7837
0.3583 , 136.8740
0.3960 , 139.5740
0.4545 , 143.6224
0.5012 , 144.9513
0.5537 , 149.0042
0.6073 , 151.6922
0.6430 , 153.0294
0.6955 , 155.7180
0.7402 , 157.0485
0.7679 , 158.3917
0.7917 , 159.7379
0.8126 , 159.7221
0.8364 , 160.3862
0.8562 , 162.4176
0.8731 , 162.4048
0.8869 , 163.7585
0.8998 , 163.0666
0.9127 , 164.4211
0.9217 , 163.7322
0.9296 , 163.0441
0.9336 , 163.0411
0.9435 , 163.7157
0.9544 , 164.3895
0.9613 , 164.3843
0.9683 , 164.3790
0.9821 , 164.3685
0.9891 , 165.0453
