0.15-0.25mm,
X,Y
0.0800 , 468.3664
0.1000 , 486.3993
0.1200 , 497.8926
0.1400 , 508.4887
0.1600 , 517.8037
0.1800 , 524.8496
0.2000 , 530.5775
0.2200 , 535.9971
0.2400 , 541.3854
0.2600 , 546.8803
0.2800 , 552.1792
0.3000 , 557.1657
0.3200 , 561.8456
0.3400 , 566.1734
0.3600 , 569.9633
0.3800 , 573.1951
0.4000 , 576.2795
0.4200 , 579.5152
0.4400 , 582.7144
0.4600 , 585.8297
0.4800 , 588.9623
0.5000 , 591.9828
0.5200 , 594.7156
0.5400 , 597.0948
0.5600 , 599.1720
0.5800 , 601.2232
0.6000 , 603.5622
0.6200 , 606.2471
0.6400 , 608.7371
0.6600 , 610.7236
0.6800 , 612.7191
0.7000 , 615.2300
0.7200 , 617.9351
0.7400 , 620.2144
0.7600 , 621.9023
0.7800 , 622.9268
0.8000 , 623.8141
0.8200 , 625.2637
0.8400 , 627.1695
0.8600 , 629.2099
0.8800 , 631.1718
0.9000 , 632.9616
0.9200 , 634.8516
0.9400 , 636.9365
0.9593 , 637.8667
0.9801 , 640.0000
0.0586 , 445.8667
0.0437 , 430.9333
0.0318 , 401.0667
0.0199 , 364.8000
0.0099 , 324.2667
