0.25-0.50mm,
X,Y
0.0089 , 125.8667
0.0278 , 199.4667
0.0477 , 232.5333
0.0556 , 244.2667
0.0755 , 262.4000
0.0943 , 276.2667
0.1053 , 282.6667
0.1152 , 291.2000
0.1351 , 300.8000
0.1529 , 310.4000
0.1738 , 316.8000
0.1927 , 324.2667
0.2463 , 339.2000
0.2949 , 350.9333
0.3585 , 363.7333
0.3952 , 370.1333
0.4538 , 379.7333
0.4995 , 386.1333
0.5521 , 392.5333
0.6058 , 400.0000
0.6415 , 403.2000
0.6961 , 408.5333
0.7378 , 410.6667
0.7656 , 412.8000
0.7915 , 416.0000
0.8133 , 417.0667
0.8361 , 420.2667
0.8550 , 421.3333
0.8699 , 422.4000
0.8838 , 424.5333
0.8967 , 424.5333
0.9076 , 424.5333
0.9196 , 425.6000
0.9345 , 426.6667
0.9464 , 428.8000
0.9603 , 428.8000
0.9752 , 429.8667
0.9871 , 429.8667
