AC-3,
X,Y
0.0566 , 62.1757
0.0755 , 72.9054
0.0943 , 80.4223
0.1073 , 84.7199
0.1162 , 89.0133
0.1341 , 93.3163
0.1530 , 98.6913
0.1728 , 102.9963
0.1927 , 108.3724
0.2454 , 118.0673
0.2931 , 124.5441
0.3567 , 132.1089
0.3965 , 135.3643
0.4531 , 140.7798
0.4988 , 145.1125
0.5535 , 148.3839
0.6062 , 153.7951
0.6420 , 152.7625
0.6936 , 156.0307
0.7374 , 160.3613
0.7672 , 162.5351
0.7930 , 162.5628
0.8129 , 164.7260
0.8358 , 164.7505
0.8547 , 164.7707
0.8726 , 164.7899
0.8855 , 164.8037
0.9004 , 168.0325
0.9123 , 166.9744
0.9262 , 168.0602
0.9382 , 169.1439
0.9531 , 169.1599
0.9660 , 170.2447
0.9779 , 170.2575
0.9898 , 171.3412
