AC-6,
X,Y
0.9880 , 44.9671
0.9721 , 43.8791
0.9592 , 42.7943
0.9473 , 42.7815
0.9324 , 42.7656
0.9184 , 41.6797
0.9025 , 40.5917
0.8886 , 41.6478
0.8717 , 42.7006
0.8558 , 42.6836
0.8369 , 42.6634
0.8141 , 42.6389
0.7922 , 42.6155
0.7673 , 42.5889
0.7395 , 44.7009
0.6958 , 43.5832
0.6411 , 41.3827
0.6053 , 41.3444
0.5526 , 41.2880
0.5526 , 41.2880
0.4990 , 41.2305
0.4532 , 41.1815
0.3956 , 40.0488
0.3578 , 41.0793
0.2922 , 41.0090
0.2465 , 42.0310
0.1908 , 38.7586
0.1729 , 37.6685
0.1520 , 36.5751
0.1332 , 36.5549
0.1153 , 36.5358
0.1043 , 37.5950
0.0954 , 35.4435
0.0775 , 35.4244
0.0576 , 35.4031
0.0467 , 34.3204
0.0268 , 32.1572
