ACK-2-8,
X,Y
0.2400 , 525.4106
0.2600 , 539.1512
0.2800 , 552.9254
0.3000 , 564.3366
0.3200 , 574.3487
0.3400 , 585.1218
0.3600 , 594.5931
0.3800 , 601.2009
0.4000 , 606.0403
0.4200 , 613.9224
0.4400 , 621.1161
0.4600 , 627.3009
0.4800 , 633.7912
0.5000 , 636.7764
0.5200 , 641.3451
0.5400 , 644.7222
0.5600 , 645.3525
0.5800 , 647.3568
0.6000 , 648.7749
0.6200 , 650.3821
0.6400 , 653.2462
0.6600 , 655.4867
0.6800 , 657.3188
0.7000 , 659.9625
0.7200 , 662.6052
0.7400 , 663.9786
0.7600 , 666.6647
0.7800 , 670.4828
0.8000 , 672.5771
0.8200 , 676.0157
0.8400 , 679.7812
0.8600 , 682.8030
0.8800 , 686.4804
0.9000 , 689.1866
0.9200 , 692.3911
0.9400 , 697.0739
0.9600 , 701.5646
0.9800 , 706.9025
0.2116 , 502.0325
0.1855 , 482.7236
0.1702 , 464.4309
0.1563 , 451.2195
0.1425 , 433.9431
0.1302 , 419.7154
0.1180 , 402.4390
0.1072 , 380.0813
0.0980 , 353.6585
0.0919 , 320.1220
0.0904 , 268.2927
0.0905 , 214.4309
0.0905 , 161.5854
0.0914 , 106.7073
0.0906 , 52.8455
