ACZ-1-6,
X,Y
0.1165 , 275.2294
0.0819 , 269.9869
0.0507 , 262.7785
0.0249 , 249.0170
0.0071 , 228.7025
0.0018 , 195.2818
-0.0018 , 158.5845
0.0000 , 117.9554
0.0000 , 77.3263
-0.0009 , 38.0079
0.9840 , 326.3434
0.9466 , 317.1691
0.9084 , 309.9607
0.1539 , 279.1612
0.1699 , 281.1271
0.1913 , 281.7824
0.2286 , 283.7484
0.2669 , 285.7143
0.2802 , 285.7143
0.3052 , 287.6802
0.3327 , 287.0249
0.3514 , 288.9908
0.3888 , 289.6461
0.4422 , 290.3014
0.4920 , 292.9227
0.5391 , 293.5780
0.5845 , 294.8886
0.6326 , 296.1992
0.6788 , 297.5098
0.7242 , 299.4758
0.7714 , 301.4417
0.8176 , 302.7523
0.8639 , 306.0288
0.9938 , 333.5518
