ACK-2-6,
X,Y
0.1800 , 324.1628
0.2000 , 324.0537
0.2200 , 325.1297
0.2400 , 327.6194
0.2600 , 329.6119
0.2800 , 330.4922
0.3000 , 331.3135
0.3200 , 332.3420
0.3400 , 333.3113
0.3600 , 334.2864
0.3800 , 335.3743
0.4000 , 336.4733
0.4200 , 337.4448
0.4400 , 338.2461
0.4600 , 338.8185
0.4800 , 339.2711
0.5000 , 339.7840
0.5200 , 340.4049
0.5400 , 341.0771
0.5600 , 341.6699
0.5800 , 342.0532
0.6000 , 342.4025
0.6200 , 343.0374
0.6400 , 343.9773
0.6600 , 345.0279
0.6800 , 345.9241
0.7000 , 346.3711
0.7200 , 346.4470
0.7400 , 346.4017
0.7600 , 346.5591
0.7800 , 347.2399
0.8000 , 348.5301
0.8200 , 350.3559
0.8400 , 352.4233
0.8600 , 354.5196
0.8800 , 356.6577
0.9000 , 358.7323
0.9200 , 361.2304
0.9400 , 364.7354
0.9600 , 367.1903
0.1503 , 313.0081
0.1234 , 302.8455
0.1019 , 282.5203
0.0912 , 245.9350
0.0905 , 198.1707
0.0898 , 147.3577
0.0914 , 94.5122
