ACK-3-7,
X,Y
0.1632 , 305.1773
0.1477 , 301.0284
0.1330 , 293.1915
0.1199 , 283.9716
0.1067 , 270.1418
0.0951 , 252.6241
0.0905 , 220.3546
0.0897 , 177.0213
0.0913 , 133.6879
0.0913 , 89.4326
0.0913 , 45.1773
0.1794 , 311.6312
0.1964 , 316.2411
0.2312 , 320.8511
0.2622 , 322.6950
0.3109 , 323.6170
0.3627 , 324.5390
0.4215 , 332.8369
0.4578 , 335.6028
0.5004 , 339.2908
0.5437 , 341.1348
0.5870 , 342.9787
0.6303 , 344.8227
0.6721 , 346.6667
0.7162 , 348.5106
0.7572 , 350.3546
0.7997 , 354.9645
0.8438 , 356.8085
0.8863 , 360.4965
0.9281 , 366.0284
0.9683 , 372.4823
0.9807 , 378.0142
0.9930 , 383.5461
