ACK-2-8,
X,Y
0.9897 , 711.4579
0.9762 , 703.5359
0.9326 , 691.9296
0.8885 , 684.0238
0.8421 , 677.7051
0.7980 , 672.9710
0.7520 , 667.1806
0.7060 , 663.5046
0.6591 , 660.3578
0.6146 , 656.6811
0.5677 , 649.8340
0.5226 , 647.2147
0.4767 , 637.1955
0.4316 , 632.9905
0.3801 , 618.7453
0.3453 , 606.6058
0.3151 , 600.2784
0.3021 , 596.0565
0.2659 , 582.3318
0.2352 , 562.7896
0.1995 , 544.8358
0.1651 , 525.8241
0.1340 , 503.6391
0.1029 , 478.8110
0.0889 , 466.1318
0.0736 , 451.3389
0.0583 , 435.4888
0.0443 , 420.6952
0.0309 , 401.6725
0.0179 , 382.6495
0.0072 , 354.1104
0.0002 , 320.2832
-0.0017 , 269.5379
-0.0013 , 215.6198
-0.0018 , 109.8987
-0.0018 , 55.4522
