ACK-2-8-3,
X,Y
0.9963 , 799.7318
0.9856 , 788.6367
0.9716 , 781.7722
0.9577 , 775.9649
0.9155 , 764.8865
0.8709 , 758.0381
0.8254 , 749.6045
0.7813 , 742.7559
0.7372 , 736.4359
0.6931 , 730.1160
0.6471 , 724.3256
0.6025 , 719.5917
0.5570 , 713.2724
0.5125 , 706.9527
0.4990 , 707.4884
0.4674 , 700.1046
0.4451 , 694.8303
0.4238 , 691.1414
0.3922 , 685.8720
0.3792 , 680.5928
0.3407 , 673.2127
0.3365 , 667.9288
0.2952 , 649.9780
0.2900 , 641.5230
0.2613 , 633.0805
0.2418 , 623.5759
0.2287 , 613.5393
0.1953 , 578.6689
0.1656 , 567.5838
0.1479 , 554.3780
0.1340 , 538.5271
0.1043 , 509.4695
0.0954 , 499.4306
0.0866 , 487.2773
0.0783 , 476.7096
0.0699 , 465.6133
0.0615 , 454.5169
0.0536 , 443.4204
0.0453 , 430.2096
0.0369 , 417.5275
0.0295 , 405.3734
0.0234 , 390.0470
0.0160 , 374.1928
0.0127 , 346.7069
0.0067 , 326.0945
0.0025 , 299.1377
0.0006 , 266.8937
-0.0003 , 231.4775
-0.0013 , 191.8325
-0.0004 , 154.8295
-0.0004 , 115.7126
-0.0009 , 76.5960
-0.0009 , 38.0077
