400stC,
X,Y
0.9918 , 301.8758
0.9776 , 298.3829
0.9663 , 296.0543
0.9568 , 294.8900
0.9473 , 293.7257
0.9369 , 292.1734
0.9369 , 292.1734
0.9256 , 291.0091
0.9161 , 290.2329
0.9066 , 289.4567
0.8934 , 287.9043
0.8451 , 285.1876
0.7949 , 282.0828
0.7457 , 280.1423
0.6955 , 277.4256
0.6463 , 275.0970
0.5952 , 271.9922
0.5460 , 269.6636
0.4958 , 266.9470
0.4447 , 264.2303
0.3964 , 261.1255
0.3519 , 258.0207
0.3093 , 254.5278
0.2601 , 251.4230
0.2071 , 245.6016
0.1494 , 237.8396
0.0993 , 228.9133
0.0889 , 226.1966
0.0785 , 223.0918
0.0662 , 219.9871
0.0558 , 216.1061
0.0425 , 210.6727
0.0265 , 200.5821
0.0199 , 193.2083
0.0105 , 185.8344
0.0077 , 174.5796
