400stC,
X,Y
0.0200 , 194.3345
0.0400 , 210.1932
0.0600 , 219.0753
0.0800 , 225.2751
0.1000 , 230.0432
0.1200 , 233.8133
0.1400 , 237.6130
0.1600 , 240.9939
0.1800 , 244.1211
0.2000 , 246.5941
0.2200 , 248.1091
0.2400 , 250.2827
0.2600 , 252.0786
0.2800 , 253.9852
0.3000 , 255.9004
0.3200 , 257.4834
0.3400 , 258.8639
0.3600 , 260.3339
0.3800 , 261.8649
0.4800 , 266.5764
0.5000 , 267.6575
0.5200 , 268.6063
0.5400 , 269.7306
0.5600 , 270.4808
0.5800 , 271.3768
0.6000 , 272.2704
0.6200 , 273.2233
0.6400 , 274.5420
0.6600 , 275.9470
0.6800 , 276.8556
0.7000 , 277.7168
0.7200 , 278.7342
0.7400 , 279.8488
0.7600 , 280.8963
0.7800 , 281.9862
0.8000 , 282.9948
0.8200 , 284.0282
0.8400 , 285.1977
0.8600 , 286.4140
0.8800 , 287.8340
0.9000 , 289.4501
0.9200 , 291.4639
0.9400 , 293.7615
0.9600 , 296.4760
0.4589 , 264.2303
0.4286 , 263.4541
0.3973 , 261.9017
0.9776 , 298.7710
0.9918 , 301.4877
0.0312 , 205.2393
0.0237 , 199.8060
0.0105 , 180.7891
