1-2,
X,Y
0.9940 , 339.7132
0.9866 , 336.8547
0.9768 , 334.7576
0.9694 , 331.3276
0.9583 , 329.4207
0.9485 , 328.4665
0.9397 , 327.7029
0.9290 , 325.9866
0.9193 , 325.4133
0.9086 , 324.4589
0.8956 , 323.3135
0.8464 , 319.6851
0.7967 , 315.8661
0.7470 , 312.8090
0.6968 , 309.9423
0.6471 , 307.4567
0.5974 , 305.1615
0.5473 , 302.1043
0.4962 , 299.4279
0.4475 , 295.9901
0.3996 , 294.2667
0.3532 , 290.0674
0.3128 , 286.6311
0.2640 , 281.4790
0.2088 , 274.4208
0.1503 , 265.0763
0.1002 , 254.4001
0.0793 , 248.4914
0.0658 , 243.3460
0.0561 , 239.9155
0.0454 , 234.5802
0.0352 , 227.3401
0.0273 , 221.4339
0.0185 , 213.6227
0.0116 , 204.8594
0.0093 , 200.0971
0.0079 , 197.0492
0.0061 , 192.6679
0.0047 , 186.9534
