1-25h,
X,Y
0.9932 , 327.3068
0.9864 , 324.3285
0.9787 , 321.7218
0.9692 , 319.8583
0.9601 , 318.3671
0.9501 , 316.8754
0.9397 , 315.3836
0.9302 , 314.4502
0.9207 , 313.8887
0.9102 , 313.1408
0.8957 , 311.4615
0.8454 , 307.7230
0.7969 , 304.9152
0.7461 , 302.2924
0.6963 , 299.6700
0.6478 , 297.7921
0.5970 , 294.7974
0.5471 , 292.5470
0.4973 , 289.5526
0.4479 , 286.5584
0.3989 , 284.1223
0.3531 , 279.8276
0.3137 , 277.2091
0.2647 , 272.5411
0.2081 , 266.5684
0.1532 , 257.8065
0.1024 , 247.7442
0.0893 , 244.7635
0.0771 , 241.2252
0.0653 , 237.8730
0.0562 , 233.7779
0.0471 , 230.4267
0.0354 , 222.4248
0.0245 , 215.9112
0.0195 , 208.8417
0.0118 , 201.0273
0.0095 , 195.8188
0.0091 , 188.1931
