2h,
X,Y
0.9932 , 288.9931
0.9882 , 286.2014
0.9787 , 284.3380
0.9696 , 281.9168
0.9592 , 280.6110
0.9501 , 279.1197
0.9406 , 278.5582
0.9302 , 277.2524
0.9211 , 276.6911
0.9084 , 275.3844
0.8953 , 273.8916
0.8477 , 270.8981
0.7965 , 268.2752
0.7475 , 266.0251
0.6967 , 263.4024
0.6473 , 261.5241
0.5979 , 258.7159
0.5485 , 256.8376
0.4982 , 254.4011
0.4474 , 251.5923
0.3994 , 249.5286
0.3554 , 246.3504
0.3123 , 242.9866
0.2634 , 238.5047
0.2081 , 233.2764
0.1523 , 225.6301
0.1006 , 215.9395
0.0907 , 214.2619
0.0807 , 212.0263
0.0680 , 207.5578
0.0580 , 204.0203
0.0462 , 200.2962
0.0372 , 194.5272
0.0281 , 188.2002
0.0195 , 180.5714
0.0100 , 168.1066
0.0073 , 162.5259
0.0054 , 157.6896
0.0041 , 150.0635
