AC0,
X,Y
0.0200 , 295.2129
0.0400 , 326.7035
0.0600 , 349.2794
0.0800 , 367.8548
0.1000 , 382.6305
0.1200 , 395.3980
0.1400 , 409.7223
0.1600 , 422.1523
0.1800 , 433.2492
0.2000 , 444.9629
0.2200 , 453.6553
0.2400 , 461.2609
0.2600 , 469.8355
0.2800 , 477.2182
0.3000 , 482.2642
0.3200 , 487.4363
0.3400 , 492.0444
0.3600 , 495.8890
0.3800 , 501.5094
0.4000 , 506.4486
0.4200 , 510.0278
0.4400 , 512.1475
0.4600 , 516.4239
0.4800 , 520.2746
0.5000 , 523.1055
0.5200 , 526.0738
0.5400 , 527.9714
0.5600 , 532.2503
0.5800 , 536.7362
0.6000 , 539.1180
0.6200 , 540.8806
0.6400 , 545.1814
0.6600 , 549.4719
0.6800 , 553.3778
0.7000 , 557.3243
0.7200 , 560.6940
0.7400 , 565.9277
0.7600 , 570.6908
0.7800 , 575.1273
0.8000 , 580.1524
0.8200 , 585.8972
0.8400 , 592.2753
0.8600 , 596.6980
0.9905 , 610.6412
0.9600 , 605.7299
0.9305 , 604.0928
0.8978 , 597.5443
0.1286 , 402.7285
