AC15,
X,Y
0.0400 , 290.6720
0.0600 , 309.9634
0.0800 , 323.3607
0.1000 , 332.6033
0.1200 , 339.9594
0.1400 , 346.4562
0.1600 , 351.3842
0.1800 , 355.4638
0.2000 , 359.0215
0.2200 , 361.7638
0.2400 , 364.4648
0.2600 , 367.1565
0.2800 , 369.3289
0.3000 , 371.3283
0.3200 , 373.3757
0.3400 , 375.4716
0.3600 , 377.5003
0.3800 , 379.2180
0.4000 , 381.1728
0.4200 , 382.8047
0.4400 , 384.1901
0.4600 , 386.0684
0.4800 , 387.7420
0.5000 , 389.4936
0.5200 , 391.3287
0.5400 , 392.8658
0.5600 , 394.5714
0.5800 , 396.5248
0.6000 , 398.1537
0.6200 , 399.5557
0.6400 , 401.2107
0.6600 , 402.6819
0.6800 , 404.3110
0.7000 , 406.1503
0.7200 , 407.8060
0.7400 , 409.5950
0.7600 , 411.5008
0.7800 , 413.5920
0.8000 , 416.1190
0.8200 , 418.3236
0.8400 , 420.6195
0.8600 , 422.7725
0.8800 , 424.4203
0.9000 , 425.9574
0.9200 , 426.7134
0.9400 , 427.6038
0.9600 , 428.7629
0.9895 , 431.3779
