AC30,
X,Y
0.9905 , 618.0082
0.9600 , 607.3670
0.9305 , 600.8186
0.8704 , 591.8145
0.8398 , 586.9031
0.7798 , 573.8063
0.7492 , 564.8022
0.6891 , 551.7053
0.6607 , 545.9754
0.6006 , 534.5157
0.5701 , 529.6044
0.5100 , 519.7817
0.4795 , 514.8704
0.4204 , 504.2292
0.3899 , 497.6808
0.3288 , 484.5839
0.2993 , 474.7613
0.2792 , 468.2128
0.2518 , 457.5716
0.2202 , 443.6562
0.2076 , 437.9263
0.1897 , 428.9222
0.1602 , 410.9141
0.1296 , 387.9945
0.0991 , 364.2565
0.0896 , 356.8895
0.0780 , 347.0668
0.0685 , 337.2442
0.0590 , 326.6030
0.0495 , 317.5989
0.0379 , 305.3206
0.0285 , 291.4052
0.0190 , 275.8527
0.0095 , 254.5703
0.0053 , 241.4734
0.0042 , 230.0136
