AMC-800,
X,Y
102.3218 , 331.0537
102.2022 , 323.6198
100.3168 , 311.6024
98.0794 , 303.5857
93.2540 , 296.6991
88.5471 , 292.6721
83.9581 , 289.7893
78.7810 , 287.4752
73.9569 , 285.1630
68.6626 , 284.5636
63.7211 , 283.3944
58.4266 , 281.6515
53.2495 , 279.3374
48.0726 , 277.5951
42.7780 , 275.8522
37.3656 , 273.5369
32.6591 , 271.2253
29.9528 , 269.4958
27.4818 , 267.7676
24.8929 , 265.4670
21.8334 , 262.5921
19.1272 , 261.4345
16.7735 , 258.5633
13.5960 , 254.5442
10.5361 , 250.5258
7.5933 , 244.2208
5.2385 , 237.3470
3.8259 , 233.9090
2.8832 , 228.1861
1.5873 , 221.3179
