O-C,
X,Y
0.0000 , 0.2077
0.0200 , 0.3853
0.0400 , 0.4848
0.0600 , 0.5556
0.0800 , 0.5896
0.1000 , 0.6060
0.1200 , 0.6403
0.1400 , 0.6577
0.1600 , 0.6632
0.1800 , 0.6923
0.2000 , 0.7094
0.2200 , 0.7095
0.2400 , 0.7269
0.2600 , 0.7469
0.2800 , 0.7789
0.3000 , 0.7873
0.3200 , 0.7951
0.3400 , 0.8134
0.3600 , 0.8480
0.3800 , 0.8509
0.4000 , 0.8650
0.4200 , 0.9172
0.4400 , 0.9530
0.4600 , 0.9693
0.4800 , 1.0037
0.5000 , 1.0210
0.5200 , 1.0557
0.5400 , 1.0919
0.5600 , 1.1075
0.5800 , 1.1581
0.6000 , 1.1939
0.6200 , 1.2115
0.6400 , 1.2620
0.6600 , 1.2978
0.6800 , 1.3330
0.7000 , 1.3671
0.7200 , 1.4198
0.7400 , 1.4355
0.7600 , 1.4709
0.7800 , 1.5056
0.8000 , 1.5400
0.8200 , 1.5751
0.8400 , 1.6096
0.8600 , 1.6627
0.8800 , 1.7116
0.9000 , 1.8008
0.9200 , 1.8463
0.9400 , 2.0403
0.9600 , 2.2162
0.9800 , 2.4101
0.9943 , 2.5593
