CA1,
X,Y
0.0115 , 60.3454
0.0186 , 66.7723
0.0276 , 71.7371
0.0385 , 75.8529
0.0495 , 79.7324
0.0617 , 83.2570
0.0739 , 85.8118
0.0860 , 88.4841
0.0982 , 90.2381
0.1104 , 92.8370
0.1226 , 93.9152
0.1347 , 95.6104
0.1469 , 96.3580
0.1591 , 98.0312
0.1713 , 99.2195
0.1835 , 100.1985
0.1956 , 101.3758
0.2078 , 102.3879
0.2200 , 103.5982
0.2322 , 104.2136
0.2444 , 105.3138
0.2565 , 106.0393
0.2687 , 106.6987
0.2809 , 107.9311
0.2931 , 108.5684
0.3053 , 109.2058
0.3174 , 110.1517
0.3296 , 110.8772
0.3418 , 111.2722
0.3540 , 111.3806
0.3662 , 112.3265
0.3783 , 112.5010
0.3905 , 112.9091
0.4027 , 114.0181
0.4149 , 114.7657
0.4271 , 115.1871
0.4392 , 116.1947
0.4514 , 116.9863
0.4636 , 117.5796
0.4758 , 118.6401
0.4880 , 118.9939
0.5001 , 119.3154
0.5123 , 119.9968
0.5245 , 120.3697
0.5367 , 121.0070
0.5489 , 121.4901
0.5610 , 121.9732
0.5732 , 122.5224
0.5854 , 123.4903
0.5976 , 124.3481
0.6098 , 125.0736
0.6219 , 125.6889
0.6341 , 126.7671
0.6463 , 127.6469
0.6585 , 128.8352
0.6706 , 129.6268
0.6828 , 130.7270
0.6950 , 132.0697
0.7072 , 133.4343
0.7194 , 134.2700
0.7315 , 135.6127
0.7437 , 137.3079
0.7559 , 138.2979
0.7681 , 140.0152
0.7802 , 141.7325
0.7924 , 143.2735
0.8046 , 145.7181
0.8168 , 147.7880
0.8289 , 149.7918
0.8411 , 151.8838
0.8533 , 155.3422
0.8655 , 157.8647
0.8776 , 159.6496
0.8898 , 162.0971
0.9020 , 165.6055
0.9142 , 167.7856
0.9263 , 169.9290
0.9385 , 172.1459
0.9507 , 173.4444
0.9629 , 174.5666
0.9751 , 175.4464
0.9872 , 176.5466
0.9989 , 177.2235
