PFA2,
X,Y
0.0109 , 145.7879
0.0460 , 148.8797
0.0582 , 149.5685
0.0703 , 150.9993
0.0825 , 152.1656
0.0947 , 153.0674
0.1069 , 153.4969
0.1191 , 153.8239
0.1312 , 154.2081
0.1434 , 154.4267
0.1556 , 154.5131
0.1678 , 154.9521
0.1800 , 154.9723
0.1922 , 155.1909
0.2043 , 155.4977
0.2165 , 155.6722
0.2287 , 155.8908
0.2409 , 156.0433
0.2531 , 156.0636
0.2652 , 156.0838
0.2774 , 156.4567
0.2896 , 156.6092
0.3018 , 156.6294
0.3140 , 156.8040
0.3261 , 157.1328
0.3383 , 157.1751
0.3505 , 157.2173
0.3627 , 157.5461
0.3749 , 157.6766
0.3871 , 157.9319
0.3992 , 157.7612
0.4114 , 158.1561
0.4236 , 158.2676
0.4358 , 158.3068
0.4480 , 158.3270
0.4601 , 158.3473
0.4723 , 158.3675
0.4845 , 158.4759
0.4966 , 158.6503
0.5089 , 158.5826
0.5211 , 158.7835
0.5332 , 158.8545
0.5454 , 158.7755
0.5576 , 158.9941
0.5698 , 159.0144
0.5820 , 159.0346
0.5941 , 159.0329
0.6063 , 159.0751
0.6185 , 159.0183
0.6307 , 159.0770
0.6429 , 159.1359
0.6551 , 159.1341
0.6672 , 159.1103
0.6794 , 159.1966
0.6916 , 159.2169
0.7038 , 159.2371
0.7160 , 159.2574
0.7281 , 159.0719
0.7403 , 159.2979
0.7525 , 159.2741
0.7597 , 159.2089
0.9020 , 159.2360
0.9142 , 159.1241
0.9264 , 159.2912
0.9386 , 159.1866
0.9507 , 159.2289
0.9629 , 159.2051
0.9751 , 159.2033
0.9873 , 159.6202
0.9973 , 159.7250
0.8841 , 159.0494
0.8355 , 158.9686
0.8218 , 159.2783
0.7816 , 159.2114
0.8120 , 159.2619
0.7702 , 159.1925
0.8492 , 159.3238
0.8628 , 159.3465
