Takeda5A,
X,Y
-0.0010 , 14.9159
-0.0002 , 90.6404
-0.0002 , 76.8925
-0.0009 , 7.0010
-0.0007 , 0.1131
0.0017 , 111.6850
-0.0008 , 23.7076
0.0162 , 121.9506
0.0295 , 123.6903
0.0461 , 124.5058
0.0582 , 125.3554
0.0682 , 126.6131
0.0840 , 128.2660
0.0999 , 130.0021
0.1103 , 130.6863
0.1234 , 130.9983
0.1424 , 131.8178
0.1540 , 132.1402
0.1714 , 132.7024
0.1856 , 132.8593
0.1978 , 133.1826
0.2118 , 134.0949
0.2221 , 133.7873
0.2352 , 133.7298
0.2504 , 133.7549
0.2675 , 134.1140
0.2836 , 134.2950
0.2963 , 134.3162
0.3129 , 134.3658
0.3201 , 134.5982
0.3345 , 134.8646
0.3467 , 134.8848
0.3650 , 135.1797
0.3752 , 135.2353
0.3855 , 135.3735
0.3999 , 135.4580
0.4159 , 135.4847
0.4237 , 135.5784
0.4381 , 135.9579
0.4508 , 136.0276
0.4669 , 136.0543
0.4771 , 136.0713
0.4893 , 136.2128
0.5123 , 136.0552
0.5233 , 136.4804
0.5394 , 136.6597
0.5516 , 136.7406
0.5687 , 136.7085
0.5809 , 136.7288
0.5931 , 136.8096
0.6033 , 136.7660
0.6418 , 136.8300
0.6764 , 137.4128
0.6861 , 136.9036
0.7772 , 137.9762
0.7880 , 138.0912
0.8046 , 137.8059
0.8118 , 138.0823
0.8286 , 137.8139
0.8426 , 137.9551
0.8528 , 138.1504
0.8705 , 138.1799
0.8832 , 138.2495
0.9021 , 138.2323
0.9093 , 138.2443
0.9237 , 138.2682
0.9392 , 138.2940
0.9552 , 138.3427
0.9675 , 138.7242
0.9763 , 138.4850
0.6245 , 137.0088
0.7073 , 137.4788
0.7240 , 137.1741
0.7445 , 137.5407
-0.0009 , 41.2219
