1-0,
X,Y
0.9919 , 705.6069
0.9747 , 703.3077
0.9493 , 700.5507
0.9227 , 699.1787
0.9014 , 697.8042
0.8765 , 696.8928
0.8507 , 695.0590
0.8263 , 694.6088
0.8010 , 693.2362
0.7761 , 691.8634
0.7517 , 687.2603
0.7264 , 686.3491
0.7010 , 685.4379
0.6771 , 684.0646
0.6517 , 682.6920
0.6260 , 681.3196
0.6006 , 679.4855
0.5758 , 677.6513
0.5500 , 675.8174
0.5246 , 672.1376
0.4989 , 671.2266
0.4735 , 668.9311
0.4500 , 666.6348
0.4229 , 664.8016
0.4012 , 661.5815
0.3754 , 658.3634
0.3496 , 655.6066
0.3234 , 651.0044
0.2985 , 645.4786
0.2759 , 639.9518
0.2497 , 634.4267
0.2252 , 624.2863
0.2013 , 613.2229
0.1728 , 600.7772
0.1506 , 589.2515
0.1262 , 569.8824
0.1000 , 546.8227
0.0755 , 521.4549
0.0498 , 485.0133
0.0253 , 435.6508
