AC3,
X,Y
0.0152 , 207.8149
0.0319 , 217.8491
0.0504 , 228.5350
0.0771 , 236.3366
0.1067 , 240.8871
0.1353 , 244.6655
0.1664 , 247.6209
0.1953 , 249.4566
0.2248 , 251.4098
0.2543 , 254.7945
0.2839 , 255.8816
0.3137 , 256.4280
0.3426 , 257.2962
0.3733 , 258.2403
0.4033 , 259.3913
0.4309 , 260.4158
0.4595 , 261.0949
0.4906 , 262.1015
0.5202 , 262.7419
0.5478 , 263.5915
0.5792 , 264.3969
0.6100 , 265.3511
0.6382 , 265.7992
0.6667 , 266.8308
0.6955 , 267.5087
0.7269 , 268.5896
0.7564 , 270.3365
0.7846 , 270.1236
0.8154 , 271.3722
0.8454 , 272.1736
0.8746 , 273.7087
0.9026 , 274.9482
0.9336 , 276.8951
0.9653 , 281.3528
0.9862 , 286.3138
