PEACF-60,
X,Y
0.9976 , 863.7607
0.9770 , 844.8396
0.9575 , 825.9199
0.9358 , 812.3953
0.9049 , 790.7612
0.8935 , 783.9981
0.8546 , 765.0523
0.8077 , 746.0956
0.7597 , 728.4870
0.7105 , 712.2263
0.6602 , 695.9641
0.6031 , 678.3431
0.5550 , 666.1325
0.5047 , 653.9189
0.4556 , 639.0077
0.3550 , 613.2309
0.3058 , 599.6693
0.2590 , 586.1108
0.1377 , 526.5680
0.1034 , 496.8321
0.0851 , 477.9140
0.0714 , 467.0992
0.0645 , 457.6433
0.0588 , 446.8393
0.0508 , 436.0323
0.0439 , 425.2268
0.0370 , 414.4213
0.0302 , 404.9653
0.0267 , 396.8635
0.0222 , 384.7116
0.0153 , 367.1585
0.0084 , 350.9549
0.0049 , 330.7073
0.0038 , 310.4628
0.0026 , 290.2183
0.0014 , 267.2748
0.0014 , 244.3327
0.0014 , 221.3907
0.0002 , 199.7967
0.0002 , 179.5538
0.0002 , 157.9613
0.0013 , 137.7199
0.0001 , 118.8249
0.0001 , 98.5820
0.0001 , 76.9895
0.0001 , 59.4456
0.0000 , 43.2513
0.0012 , 25.7089
0.0012 , 9.5146
