PEACF-40,
X,Y
0.0400 , 293.5901
0.0600 , 305.4314
0.0800 , 310.9223
0.1000 , 314.5254
0.1200 , 318.0185
0.1400 , 321.8441
0.1600 , 323.8472
0.1800 , 325.7383
0.2000 , 328.4116
0.2200 , 330.6384
0.2400 , 332.5414
0.2600 , 334.4069
0.2800 , 336.5995
0.3000 , 338.6899
0.3200 , 339.4880
0.3400 , 339.5685
0.3600 , 342.1191
0.3800 , 344.1947
0.4000 , 346.6027
0.4200 , 350.1041
0.4400 , 350.7095
0.4600 , 352.2345
0.4800 , 355.7688
0.5000 , 357.7131
0.5200 , 358.9133
0.5400 , 360.9374
0.5600 , 362.9218
0.5800 , 365.0040
0.6000 , 367.0732
0.6200 , 369.6905
0.6400 , 372.9324
0.6600 , 374.8803
0.6800 , 377.1258
0.7000 , 377.8841
0.7200 , 379.3516
0.7400 , 382.3284
0.7600 , 384.0056
0.7800 , 385.9234
0.8000 , 387.0888
0.8200 , 389.6530
0.8400 , 392.0889
0.8600 , 393.3863
0.8800 , 395.5112
0.9000 , 398.1864
0.9200 , 401.4966
0.9400 , 401.4422
0.9600 , 403.0268
0.9800 , 412.1472
0.9970 , 415.7169
0.0255 , 286.2006
0.0140 , 264.5927
