PE-H-9-2,
X,Y
0.0400 , 321.0319
0.0600 , 333.6737
0.0800 , 343.3951
0.1000 , 350.1657
0.1200 , 355.4109
0.1400 , 359.1457
0.1600 , 361.9027
0.1800 , 364.3310
0.2000 , 366.2604
0.2200 , 367.9715
0.2400 , 369.4141
0.2600 , 370.4216
0.2800 , 371.0016
0.3000 , 371.5380
0.3200 , 372.0471
0.3400 , 372.6922
0.3600 , 373.8052
0.3800 , 375.1892
0.4000 , 376.5230
0.4200 , 377.5187
0.4400 , 378.3172
0.4600 , 379.2393
0.4800 , 380.3351
0.5000 , 381.6797
0.5200 , 383.2171
0.5400 , 384.8476
0.5600 , 386.5659
0.5800 , 388.2498
0.6000 , 389.5493
0.6200 , 390.3291
0.6400 , 390.9720
0.6600 , 391.8969
0.6800 , 393.4975
0.7000 , 395.8816
0.7200 , 398.5403
0.7400 , 401.0235
0.7600 , 403.0697
0.7800 , 404.6108
0.8000 , 405.9500
0.8200 , 407.3853
0.8400 , 408.9331
0.8600 , 410.5614
0.8800 , 412.1571
0.9000 , 413.6144
0.9200 , 414.9113
0.9400 , 416.0320
0.9600 , 417.1188
0.9800 , 417.7919
0.9956 , 419.8003
