PE-H-9-4,
X,Y
0.9923 , 555.1291
0.9759 , 547.8055
0.9507 , 542.1196
0.9013 , 532.3772
0.8553 , 521.8169
0.8015 , 508.8172
0.7511 , 499.0757
0.7061 , 490.9602
0.6524 , 482.8518
0.6009 , 476.3721
0.5559 , 470.7022
0.5011 , 464.2252
0.4529 , 460.1884
0.4035 , 454.5221
0.3575 , 450.4836
0.3004 , 444.8235
0.2588 , 438.3358
0.2094 , 429.4086
0.1546 , 416.4098
0.1371 , 410.7176
0.0932 , 390.3729
0.0746 , 377.3446
0.0647 , 370.8309
0.0559 , 361.8707
0.0439 , 349.6523
0.0307 , 334.1739
0.0208 , 317.0624
0.0110 , 295.0595
0.0066 , 283.6501
0.0055 , 272.2379
0.0044 , 262.4562
0.0033 , 245.3375
0.0022 , 231.4797
0.0000 , 219.2533
0.0000 , 207.0250
0.0000 , 193.1663
0.0000 , 183.3837
0.0000 , 170.3402
0.0000 , 158.9272
-0.0011 , 146.6998
-0.0011 , 134.4715
-0.0011 , 123.8737
0.0000 , 112.4598
-0.0011 , 100.2324
0.0000 , 87.1880
-0.0011 , 74.9607
-0.0011 , 61.9172
-0.0011 , 50.5041
0.0000 , 35.8293
0.0000 , 24.4163
0.0000 , 13.0033
