PE-H-9-1,
X,Y
0.0400 , 227.4117
0.0600 , 232.6951
0.0800 , 235.4821
0.1000 , 237.5448
0.1200 , 239.1006
0.1400 , 240.9017
0.1600 , 242.0101
0.1800 , 242.6852
0.2000 , 243.8130
0.2200 , 244.6162
0.2400 , 245.4398
0.2600 , 246.4165
0.2800 , 247.1284
0.3000 , 247.8023
0.3200 , 248.2233
0.3400 , 248.5817
0.3600 , 249.4020
0.3800 , 250.0951
0.4000 , 250.8410
0.4200 , 251.1046
0.4400 , 250.7860
0.4600 , 251.5676
0.4800 , 252.2328
0.5000 , 252.7216
0.5200 , 254.1901
0.5400 , 255.5643
0.5600 , 256.2440
0.5800 , 257.5075
0.6000 , 257.5449
0.6200 , 257.1167
0.6400 , 257.2805
0.6600 , 257.1459
0.6800 , 258.6728
0.7000 , 259.0855
0.7200 , 259.6586
0.7400 , 261.1270
0.7600 , 261.9108
0.7800 , 263.0561
0.8000 , 263.2787
0.8200 , 264.7967
0.8400 , 265.9578
0.8600 , 266.0300
0.8800 , 267.3424
0.9000 , 267.7223
0.9200 , 268.2817
0.9400 , 268.7755
0.9600 , 269.0489
0.9800 , 270.1401
0.9978 , 272.2442
0.0252 , 224.1240
