BW-63,
X,Y
0.0261 , 12.2888
0.0466 , 12.5644
0.0671 , 12.7700
0.0876 , 12.9625
0.1079 , 13.0917
0.1287 , 13.2969
0.1517 , 13.4149
0.1722 , 13.4729
0.1938 , 13.6939
0.2133 , 13.7775
0.2338 , 13.9248
0.2536 , 13.9552
0.2783 , 14.1053
0.2979 , 14.1462
0.3200 , 14.3221
0.3382 , 14.3976
0.3594 , 14.4935
0.3799 , 14.5955
0.4009 , 14.7678
0.4210 , 14.8471
0.4436 , 14.9501
0.4619 , 15.0768
0.4817 , 15.1557
0.5016 , 15.2903
0.5264 , 15.4151
0.5464 , 15.5084
0.5675 , 15.6001
0.5850 , 15.6633
0.6107 , 15.8638
0.6302 , 15.9708
0.6546 , 16.1403
0.6740 , 16.2137
0.6968 , 16.3092
0.7151 , 16.3839
0.7414 , 16.5834
0.7638 , 16.7217
0.7838 , 16.7740
0.8049 , 16.8710
0.8259 , 16.9960
0.8469 , 17.1272
0.8662 , 17.2205
0.8870 , 17.2967
0.9075 , 17.3103
0.9290 , 17.5381
0.9490 , 17.6166
0.9684 , 17.8061
0.9881 , 17.9670
