BW-42,
X,Y
0.0400 , 9.2747
0.0600 , 9.5113
0.0800 , 9.7372
0.1000 , 9.8942
0.1200 , 10.0106
0.1400 , 10.1147
0.1600 , 10.2047
0.1800 , 10.2780
0.2000 , 10.3525
0.2200 , 10.4436
0.2400 , 10.5403
0.2600 , 10.6314
0.2800 , 10.7261
0.3000 , 10.8293
0.3200 , 10.9326
0.3400 , 11.0253
0.3600 , 11.0953
0.3800 , 11.1530
0.4000 , 11.2359
0.4200 , 11.3673
0.4400 , 11.5175
0.4600 , 11.6549
0.4800 , 11.7556
0.5000 , 11.8173
0.5200 , 11.8729
0.5400 , 11.9452
0.5600 , 12.0118
0.5800 , 12.0502
0.6000 , 12.0762
0.6200 , 12.1148
0.6400 , 12.1839
0.6600 , 12.2862
0.6800 , 12.3957
0.7000 , 12.4875
0.7200 , 12.5572
0.7400 , 12.6150
0.7600 , 12.6664
0.7800 , 12.7114
0.8000 , 12.7512
0.8200 , 12.7877
0.8400 , 12.8258
0.8600 , 12.8731
0.8800 , 12.9374
0.9000 , 13.0183
0.9200 , 13.1001
0.9400 , 13.1794
0.9523 , 13.2559
0.0243 , 9.1187
0.0078 , 8.6544
