BW-C,
X,Y
0.9026 , 6.1636
0.8500 , 6.0792
0.7468 , 5.9103
0.7225 , 5.8259
0.6962 , 5.7836
0.6699 , 5.7414
0.6475 , 5.6570
0.6212 , 5.6148
0.6212 , 5.6148
0.5969 , 5.6148
0.5725 , 5.5303
0.5492 , 5.4881
0.5219 , 5.4881
0.4985 , 5.4037
0.4752 , 5.3193
0.4489 , 5.3193
0.4206 , 5.2770
0.4002 , 5.1926
0.3729 , 5.1082
0.3476 , 5.0660
0.3213 , 4.9815
0.2980 , 4.8971
0.2736 , 4.8127
0.2483 , 4.7704
0.2201 , 4.6860
0.1967 , 4.5594
0.1694 , 4.4749
0.1694 , 4.4749
0.1451 , 4.3905
0.1227 , 4.3061
0.1227 , 4.3061
0.0993 , 4.2639
0.0886 , 4.1794
0.0808 , 4.0950
0.0701 , 4.0528
0.0604 , 3.9261
0.0477 , 3.8417
0.0360 , 3.7150
0.0282 , 3.7150
0.0136 , 3.5462
0.0049 , 3.2084
0.0010 , 2.3219
