BW-C,
X,Y
0.0400 , 3.7892
0.0600 , 4.0045
0.0800 , 4.2045
0.1000 , 4.3599
0.1200 , 4.4677
0.1400 , 4.5512
0.1600 , 4.6294
0.1800 , 4.7121
0.2000 , 4.7952
0.2200 , 4.8714
0.2400 , 4.9380
0.2600 , 4.9969
0.2800 , 5.0563
0.3000 , 5.1240
0.3200 , 5.1884
0.3400 , 5.2329
0.3600 , 5.2670
0.3800 , 5.3077
0.4000 , 5.3573
0.4200 , 5.4105
0.4400 , 5.4619
0.4600 , 5.5070
0.4800 , 5.5551
0.5000 , 5.6188
0.5200 , 5.6786
0.5400 , 5.7060
0.5600 , 5.7099
0.5800 , 5.7070
0.6000 , 5.7108
0.6200 , 5.7275
0.6400 , 5.7506
0.6600 , 5.7736
0.6800 , 5.8003
0.7000 , 5.8363
0.7200 , 5.8813
0.7400 , 5.9350
0.7600 , 5.9894
0.7800 , 6.0378
0.8000 , 6.0809
0.8200 , 6.1169
0.8400 , 6.1490
0.8600 , 6.1789
0.8800 , 6.2077
0.9000 , 6.2397
0.9200 , 6.2780
0.9400 , 6.3341
0.9679 , 6.3747
0.0253 , 3.7150
0.0058 , 3.4195
