ACK2,
X,Y
0.0007 , 170.0583
-0.0003 , 160.8257
0.0008 , 149.3610
-0.0003 , 141.8950
0.0011 , 179.6552
0.0026 , 193.6761
0.0052 , 205.5458
0.0094 , 217.0865
0.0142 , 223.9957
0.0208 , 231.2845
0.0317 , 240.1256
0.0437 , 246.8562
0.0558 , 251.9970
0.0702 , 256.4090
0.0835 , 259.4736
0.0938 , 261.6547
0.1185 , 265.6028
0.1317 , 267.2318
0.1450 , 268.6399
0.1528 , 269.5510
0.1751 , 271.4284
0.1884 , 272.3395
0.2017 , 273.2782
0.2149 , 274.0789
0.2427 , 275.5698
0.2559 , 276.1772
0.2692 , 276.7018
0.2825 , 277.2816
0.2897 , 277.4472
0.3114 , 278.0546
0.3247 , 278.4688
0.3380 , 278.6620
0.3512 , 279.0485
0.3597 , 279.2694
0.3826 , 279.6560
0.3959 , 279.8768
0.4091 , 279.9044
0.4200 , 280.2239
0.4453 , 280.4842
0.4586 , 280.4842
0.4718 , 280.8431
0.4827 , 281.0916
0.5080 , 281.0916
0.5213 , 281.5058
0.5346 , 281.6990
0.5478 , 281.6990
0.5551 , 282.0027
0.5756 , 282.2788
0.5888 , 282.3064
0.5997 , 282.3064
0.6250 , 282.7482
0.6383 , 282.9138
0.6516 , 283.3556
0.6648 , 283.5489
0.6757 , 283.9985
0.7010 , 284.5704
0.7143 , 284.7637
0.7275 , 285.2606
0.7408 , 285.3711
0.7499 , 285.7231
0.7734 , 286.2822
0.7866 , 286.5583
0.7963 , 286.8012
0.8192 , 287.4694
0.8325 , 287.7731
0.8457 , 288.3253
0.8536 , 288.3805
0.8759 , 289.4848
0.8892 , 289.9818
0.9012 , 290.8438
0.9278 , 293.2121
0.9410 , 294.3993
0.9543 , 296.2215
0.9645 , 298.8582
0.9748 , 307.0278
0.9796 , 314.6001
0.9838 , 322.9266
0.9868 , 331.1265
0.9892 , 340.3894
0.9903 , 352.6786
