ACZ2,
X,Y
0.0005 , 29.7369
0.0164 , 64.6130
0.0358 , 68.8243
0.0554 , 71.5374
0.0736 , 73.4148
0.0942 , 75.3716
0.1157 , 76.7611
0.1368 , 77.9658
0.1606 , 79.1300
0.1794 , 79.7036
0.1991 , 80.0411
0.2136 , 80.0411
0.2389 , 80.6295
0.2642 , 81.3111
0.2860 , 82.1670
0.3053 , 82.7554
0.3246 , 83.5336
0.3430 , 84.1410
0.4017 , 85.3938
0.4156 , 85.5077
0.4464 , 86.1368
0.4681 , 86.7225
0.4908 , 87.4514
0.5079 , 87.7855
0.5314 , 88.5447
0.5561 , 89.4179
0.5754 , 90.0632
0.5952 , 90.8984
0.6140 , 91.9044
0.6341 , 92.5941
0.6586 , 93.6507
0.6779 , 94.6187
0.6965 , 95.5906
0.7165 , 96.5928
0.7367 , 97.4349
0.7571 , 98.3897
0.7740 , 99.0477
0.7937 , 100.0179
0.8118 , 101.0616
0.8322 , 102.1837
0.8544 , 103.7064
0.8725 , 104.7513
0.8927 , 106.2146
0.9146 , 108.3663
0.9325 , 110.2341
0.9533 , 114.8385
0.9722 , 122.2430
0.9915 , 135.9949
0.3686 , 84.3750
0.0008 , 44.6429
0.0025 , 58.4821
0.9829 , 128.5714
