PAC,
X,Y
0.0200 , 310.9481
0.0400 , 338.2419
0.0600 , 347.8183
0.0800 , 354.6967
0.1000 , 358.8456
0.1200 , 363.1104
0.1400 , 365.5718
0.1600 , 366.9659
0.1800 , 368.0876
0.2000 , 369.8770
0.2200 , 371.8382
0.2400 , 373.0366
0.2600 , 374.1728
0.2800 , 373.8667
0.3000 , 375.8716
0.3200 , 376.9722
0.3400 , 378.9109
0.3600 , 379.6915
0.3800 , 378.3129
0.4000 , 380.0725
0.4200 , 380.8427
0.4400 , 383.1415
0.4600 , 383.1928
0.4800 , 381.7877
0.5000 , 385.0025
0.5200 , 385.5600
0.5400 , 385.5974
0.5600 , 384.7912
0.5800 , 383.7523
0.6000 , 385.8394
0.6200 , 386.6980
0.6400 , 389.5720
0.6600 , 388.6685
0.6800 , 387.2725
0.7000 , 390.1256
0.7200 , 389.9165
0.7400 , 390.7806
0.7600 , 389.3527
0.7800 , 387.5312
0.8000 , 388.8533
0.8200 , 388.8691
0.8400 , 389.9565
0.8600 , 390.0412
0.8800 , 389.3781
0.9000 , 391.0799
0.9200 , 391.7533
0.9400 , 391.9553
0.9600 , 391.1990
0.9800 , 390.4734
