AC-8,
X,Y
0.9923 , 646.7890
0.9735 , 643.3486
0.9608 , 639.9083
0.9488 , 638.7615
0.9360 , 639.9083
0.9258 , 637.6147
0.9087 , 637.6147
0.8976 , 634.1743
0.8729 , 634.1743
0.8447 , 628.4404
0.8123 , 623.8532
0.7952 , 620.4128
0.7474 , 610.0917
0.6980 , 594.0367
0.6459 , 568.8073
0.5947 , 540.1376
0.5435 , 509.1743
0.4957 , 480.5046
0.4445 , 454.1284
0.4036 , 434.6330
0.3925 , 426.6055
0.3447 , 402.5229
0.2986 , 379.5872
0.2799 , 371.5596
0.2474 , 355.5046
0.2176 , 342.8899
0.1988 , 334.8624
0.1775 , 324.5413
0.1587 , 315.3670
0.1416 , 308.4862
