AC-10,
X,Y
0.0059 , 218.0059
0.0099 , 241.0099
0.0208 , 267.0208
0.0287 , 282.0287
0.0386 , 294.0386
0.0475 , 305.0475
0.0603 , 316.0603
0.0702 , 327.0702
0.0811 , 335.0811
0.0890 , 342.0890
0.0979 , 350.0979
0.1197 , 365.1197
0.1414 , 380.1414
0.1662 , 395.1662
0.1820 , 405.1820
0.2018 , 416.2018
0.2206 , 427.2206
0.2562 , 446.2562
0.2849 , 461.2849
0.3007 , 470.3007
0.3551 , 494.3551
0.3966 , 512.3966
0.4461 , 523.4461
0.4946 , 533.4946
0.5450 , 540.5450
0.5955 , 544.5955
0.6439 , 548.6439
0.6954 , 551.6954
0.7448 , 553.7448
0.7962 , 554.7962
0.8180 , 555.8180
0.8487 , 557.8487
0.8744 , 557.8744
0.8991 , 558.8991
0.9238 , 558.9238
0.9476 , 559.9476
0.9614 , 561.9614
0.9792 , 562.9792
0.9921 , 562.9921
