AC-600,
X,Y
-0.0026 , 53.8346
0.0041 , 74.9227
0.0143 , 88.9607
0.0326 , 96.4599
0.0490 , 98.5803
0.0680 , 101.1516
0.0930 , 102.2099
0.1097 , 103.0996
0.1275 , 104.2209
0.1508 , 103.9951
0.1759 , 105.1996
0.2001 , 104.8041
0.2251 , 105.8810
0.2493 , 105.7748
0.2743 , 107.0899
0.2993 , 106.7544
0.3235 , 107.1842
0.3494 , 107.0789
0.3736 , 107.7469
0.3995 , 107.8203
0.4478 , 107.9056
0.4970 , 107.8212
0.5471 , 108.5967
0.5963 , 108.4016
0.6464 , 108.9644
0.6973 , 109.7128
0.7465 , 109.2798
0.7966 , 110.2158
0.8467 , 110.1134
0.8726 , 110.8121
0.8985 , 111.3024
0.9175 , 111.4317
0.9382 , 112.3361
0.9572 , 113.0609
0.9805 , 114.6382
