AC-800,
X,Y
-0.0015 , 103.3779
-0.0010 , 83.0917
-0.0016 , 41.2558
-0.0006 , 162.9194
0.2759 , 291.0351
0.3207 , 295.7762
0.3406 , 297.1816
0.4165 , 303.7052
0.4562 , 307.3794
0.6159 , 316.9465
0.6564 , 319.4848
0.6970 , 321.4687
0.7359 , 323.2957
0.7756 , 324.7897
0.8161 , 326.3447
0.8550 , 327.3925
0.8850 , 327.5752
0.8985 , 328.1152
0.9091 , 327.5881
0.9178 , 328.6582
0.9265 , 328.1301
0.9371 , 329.2012
0.9940 , 335.6242
0.9844 , 332.9554
0.9728 , 331.3511
0.9603 , 329.7462
0.9487 , 329.2074
0.5357 , 311.9401
0.5762 , 314.6253
0.4961 , 309.7882
0.3764 , 301.2008
0.3012 , 293.7026
0.2520 , 288.3491
0.2288 , 285.1405
0.1768 , 277.1219
0.1353 , 269.1089
0.1112 , 263.2361
0.0698 , 253.0922
