AC-Gly,
X,Y
0.0805 , 286.3708
0.0735 , 284.0209
0.0673 , 280.8877
0.0593 , 277.7546
0.0522 , 274.2298
0.0460 , 269.5300
0.0425 , 266.0052
0.0389 , 262.8721
0.0327 , 258.9556
0.0292 , 254.2559
0.0257 , 251.5144
0.0221 , 247.5979
0.0186 , 242.1149
0.0159 , 237.8068
0.0142 , 234.6736
0.0106 , 229.9739
0.0097 , 227.2324
0.0071 , 222.5326
0.0062 , 217.0496
0.0053 , 211.1749
0.0035 , 207.2585
0.0009 , 201.3838
0.0009 , 196.2924
0.0000 , 190.8094
0.0000 , 186.8930
-0.0009 , 181.4099
-0.0027 , 175.9269
0.0885 , 289.8956
0.0982 , 291.4621
0.1088 , 294.2037
0.1336 , 299.6867
0.1504 , 302.4282
0.1619 , 303.9948
0.1858 , 306.3446
0.2212 , 309.4778
0.2593 , 311.4360
0.3106 , 313.3943
0.3531 , 314.5692
0.4035 , 316.1358
0.4558 , 316.9191
0.5062 , 318.0940
0.5584 , 318.8773
0.6088 , 319.6606
0.6602 , 320.0522
0.7115 , 320.4439
0.7602 , 321.2272
0.8088 , 321.6188
0.8584 , 322.4021
0.9053 , 323.1854
0.9549 , 325.1436
0.9779 , 327.4935
0.9965 , 330.6266
