AC-LiG,
X,Y
0.0229 , 214.8431
0.0350 , 227.6460
0.0605 , 241.3213
0.0850 , 250.6926
0.1108 , 257.3392
0.1372 , 262.4241
0.1621 , 264.1753
0.1877 , 267.0269
0.2132 , 268.2297
0.2388 , 269.9670
0.2644 , 271.0355
0.2899 , 271.8092
0.3155 , 272.6639
0.3411 , 273.3271
0.3669 , 273.8672
0.3922 , 274.4103
0.4178 , 275.1619
0.4434 , 275.5156
0.4690 , 276.0240
0.4945 , 276.4588
0.5201 , 276.8420
0.5457 , 277.3504
0.5717 , 277.6399
0.5968 , 278.0136
0.6224 , 278.2788
0.6480 , 278.6547
0.6741 , 278.8883
0.6991 , 279.5020
0.7247 , 279.5610
0.7503 , 280.0031
0.7759 , 280.3052
0.8014 , 280.4231
0.8270 , 280.9758
0.8526 , 281.3516
0.8782 , 281.6537
0.9037 , 282.5232
0.9293 , 283.3853
0.9554 , 284.1590
0.9805 , 286.7675
0.9972 , 289.1815
0.0451 , 233.1070
0.0292 , 221.3577
0.0177 , 205.6919
0.0106 , 196.2924
0.0062 , 186.8930
0.0027 , 166.5274
0.0009 , 147.3368
0.0018 , 126.1880
0.0018 , 105.4308
0.0000 , 84.6736
