AC-ME1,
X,Y
0.9914 , 113.8989
0.9710 , 110.5436
0.9515 , 109.5078
0.9073 , 108.2079
0.8582 , 107.1645
0.8100 , 106.6367
0.7598 , 106.1084
0.7092 , 106.0953
0.6589 , 105.3093
0.6087 , 104.7810
0.5597 , 104.5106
0.5095 , 103.7246
0.4585 , 103.4538
0.4078 , 102.9253
0.3568 , 102.3968
0.3066 , 101.0954
0.2580 , 100.5675
0.2253 , 99.7859
0.1886 , 98.7457
0.1671 , 97.9671
0.1520 , 97.1901
0.1384 , 96.4135
0.1121 , 94.3452
0.0910 , 92.2782
0.0730 , 89.6966
0.0579 , 86.8581
0.0519 , 85.5680
0.0411 , 81.9575
0.0316 , 79.1204
0.0256 , 76.7996
0.0208 , 73.1907
0.0156 , 70.6124
0.0112 , 67.0035
0.0060 , 62.6214
0.0044 , 56.9517
0.0016 , 49.9932
0.0008 , 42.0044
-0.0004 , 34.5309
-0.0012 , 23.7075
