AC,
X,Y
0.4605 , 237.8792
0.4877 , 238.4326
0.5114 , 238.9870
0.5350 , 240.1024
0.5613 , 241.4975
0.5849 , 242.3324
0.6094 , 243.4476
0.6340 , 244.2822
0.6594 , 245.3971
0.6830 , 246.2320
0.7084 , 247.3469
0.7566 , 249.8579
0.8002 , 251.8092
0.8529 , 255.4410
0.8983 , 258.5138
0.9528 , 263.5476
0.9746 , 266.3465
0.9909 , 269.4275
0.4323 , 236.7651
0.4114 , 236.4905
0.3606 , 234.8217
0.3188 , 233.1504
0.2934 , 231.7550
0.2679 , 231.2011
0.2425 , 230.0863
0.2162 , 228.6911
0.1916 , 227.2955
0.1644 , 225.6201
0.1362 , 223.3839
0.1099 , 220.3058
0.0772 , 215.2659
0.0518 , 209.6629
0.0400 , 205.7391
0.0282 , 201.2544
0.0200 , 194.2440
0.0100 , 181.0631
0.0045 , 170.9665
