AC,
X,Y
0.0045 , 170.9665
0.0064 , 180.5031
0.0163 , 194.2451
0.0254 , 200.6941
0.0381 , 206.3007
0.0481 , 209.6639
0.0745 , 215.8276
0.1081 , 220.5868
0.1353 , 223.1037
0.1635 , 224.7788
0.1889 , 227.2962
0.2153 , 228.1304
0.2425 , 229.5252
0.2670 , 230.9209
0.2916 , 232.0360
0.3179 , 232.8702
0.3624 , 235.1017
0.4105 , 237.0517
0.4614 , 238.4400
0.5114 , 239.8285
0.5595 , 241.7785
0.6104 , 243.4473
0.6594 , 245.3971
0.7075 , 247.6276
0.7566 , 250.1384
0.8029 , 252.6500
0.8529 , 255.7215
0.8983 , 258.7943
0.9500 , 262.7069
0.9737 , 265.5053
0.9927 , 268.8660
