Default Dataset,
X,Y
0.0083 , 487.3954
0.0257 , 563.7034
0.0485 , 611.0746
0.0763 , 638.8542
0.1042 , 657.9112
0.1320 , 673.6499
0.2433 , 711.2899
0.2711 , 718.4955
0.3267 , 732.1483
0.3545 , 737.8370
0.3823 , 743.8100
0.4379 , 754.3341
0.4657 , 758.3161
0.5214 , 767.8921
0.5492 , 773.3279
0.5770 , 778.1000
0.6048 , 780.5967
0.6326 , 789.3193
0.6604 , 793.9967
0.6882 , 798.3264
0.7160 , 802.4981
0.7438 , 808.4712
0.7716 , 812.8325
0.7995 , 815.6768
0.8273 , 822.1240
0.8551 , 826.7697
0.8829 , 829.4244
0.9107 , 832.7428
0.9385 , 842.3187
0.9663 , 849.9984
0.9898 , 855.7646
0.0019 , 166.9044
0.0020 , 198.2882
0.0028 , 232.5250
0.0029 , 269.6148
0.0021 , 303.8516
0.0030 , 333.8088
0.0023 , 378.0314
0.0015 , 429.3866
0.0032 , 456.4907
0.0098 , 519.2582
0.0320 , 584.8787
0.0598 , 627.6748
0.0885 , 649.0728
0.1171 , 666.1912
0.1531 , 681.8830
0.1907 , 697.5749
0.2062 , 700.4280
0.2569 , 714.6933
0.2929 , 726.1056
0.3084 , 727.5321
0.4015 , 747.5036
0.4914 , 764.6220
0.5053 , 763.1954
