niebieski,
X,Y
0.9862 , 371.4477
0.9404 , 371.4477
0.9277 , 371.4477
0.8904 , 370.3083
0.8745 , 371.4477
0.8383 , 370.3083
0.8266 , 370.3083
0.7894 , 369.1689
0.7383 , 368.0295
0.6872 , 368.0295
0.6351 , 369.1689
0.5851 , 366.8901
0.5330 , 369.1689
0.4819 , 366.8901
0.4309 , 364.6113
0.3798 , 364.6113
0.3287 , 364.6113
0.2809 , 363.4718
0.2394 , 361.1930
0.2255 , 361.1930
0.1851 , 357.7748
0.1745 , 357.7748
0.1372 , 354.3566
0.1245 , 355.4960
0.0702 , 346.3807
0.0191 , 322.4531
0.0106 , 306.5013
