zielony,
X,Y
0.9883 , 675.6702
0.9447 , 674.5308
0.8936 , 673.3914
0.8809 , 673.3914
0.8415 , 673.3914
0.8287 , 673.3914
0.7947 , 672.2520
0.7426 , 671.1126
0.6915 , 671.1126
0.6394 , 669.9732
0.5872 , 667.6944
0.5372 , 666.5550
0.4830 , 664.2761
0.4319 , 663.1367
0.3830 , 660.8579
0.3415 , 658.5791
0.3287 , 659.7185
0.3149 , 657.4397
0.2830 , 654.0214
0.2468 , 650.6032
0.2287 , 651.7426
0.2064 , 646.0456
0.1745 , 641.4879
0.1213 , 626.6756
0.0777 , 599.3298
0.0681 , 591.3539
0.0191 , 502.4799
0.0106 , 458.0429
