niebieski,
X,Y
0.0099 , 306.9441
0.0273 , 325.7003
0.0496 , 336.1619
0.0717 , 344.4367
0.0941 , 349.3622
0.1170 , 352.3831
0.1386 , 352.9249
0.1609 , 354.8459
0.1823 , 355.8507
0.2054 , 356.9474
0.2282 , 358.6010
0.2491 , 359.2460
0.2733 , 361.3576
0.2944 , 361.2490
0.3167 , 362.7266
0.3375 , 362.0800
0.3612 , 364.1583
0.3826 , 363.7610
0.4057 , 366.1088
0.4284 , 365.6086
0.4502 , 365.8132
0.4742 , 365.3735
0.4939 , 366.1991
0.5170 , 366.6998
0.5379 , 366.0365
0.5615 , 367.6521
0.5840 , 366.1088
0.6060 , 367.9804
0.6300 , 367.6723
0.6505 , 368.8670
0.6728 , 368.4730
0.6932 , 367.6981
0.7173 , 369.4581
0.7396 , 371.3298
0.7618 , 369.9178
0.7841 , 370.9029
0.8064 , 368.6700
0.8283 , 371.1656
0.8509 , 369.7208
0.8736 , 370.1931
0.8954 , 370.5089
0.9185 , 370.2024
0.9391 , 370.5265
0.9622 , 371.2313
0.9846 , 371.8880
