AC-1h,
X,Y
0.0400 , 324.8892
0.0600 , 347.7306
0.0800 , 362.8857
0.1000 , 377.0188
0.1200 , 389.7102
0.1400 , 400.8067
0.1600 , 410.5344
0.1800 , 420.8424
0.2000 , 429.8183
0.2200 , 438.5648
0.2400 , 447.7887
0.2600 , 455.4736
0.2800 , 463.1071
0.3000 , 471.2142
0.3200 , 479.6162
0.3400 , 487.5112
0.3600 , 493.5721
0.3800 , 499.4274
0.4000 , 505.6421
0.4200 , 510.8805
0.4400 , 515.9915
0.4600 , 520.7322
0.4800 , 526.4150
0.5000 , 532.5166
0.5200 , 537.9444
0.5400 , 543.6780
0.5600 , 548.4865
0.5800 , 553.9889
0.6000 , 559.3105
0.6200 , 564.4706
0.6400 , 570.3162
0.6600 , 574.8352
0.6800 , 579.5994
0.7000 , 584.4101
0.7200 , 589.7359
0.7400 , 596.0025
0.7600 , 600.3362
0.7800 , 605.7511
0.8000 , 611.2299
0.8200 , 616.6504
0.8400 , 622.8272
0.8600 , 627.3301
0.8800 , 632.1108
0.9000 , 637.2189
0.9200 , 642.1056
0.9400 , 648.0058
0.9600 , 653.1044
