A-p1100,
X,Y
0.0200 , 7.2599
0.0400 , 7.6830
0.0600 , 7.9659
0.0800 , 8.2054
0.1000 , 8.3177
0.1200 , 8.3646
0.1400 , 8.4169
0.1600 , 8.4279
0.1800 , 8.3468
0.2000 , 8.4268
0.2200 , 8.5572
0.2400 , 8.7013
0.2600 , 8.8659
0.2800 , 8.9981
0.3000 , 9.1370
0.3200 , 9.3466
0.3400 , 9.6199
0.3600 , 9.8808
0.3800 , 10.0542
0.4000 , 10.1555
0.4200 , 10.2135
0.4400 , 10.2124
0.4600 , 10.1381
0.4800 , 10.0069
0.5000 , 9.8619
0.5200 , 9.8492
0.5400 , 10.0687
0.5600 , 10.3864
0.5800 , 10.6578
0.6000 , 10.8866
0.6200 , 11.0944
0.6400 , 11.2098
0.6600 , 11.1658
0.6800 , 11.0281
0.7000 , 10.8995
0.7200 , 10.9182
0.7400 , 11.1613
0.7600 , 11.4825
0.7800 , 11.7342
0.8000 , 11.9651
0.8200 , 12.2663
0.8400 , 12.6863
0.8600 , 13.2257
0.9913 , 30.7585
0.9901 , 28.7379
0.9840 , 24.6966
0.9646 , 18.6347
0.9367 , 15.4915
0.9100 , 13.9199
0.8881 , 13.4709
