A-p1100,
X,Y
0.9937 , 32.7791
0.9889 , 26.9417
0.9792 , 22.4515
0.9719 , 19.9818
0.9489 , 16.3896
0.9246 , 14.3689
0.8991 , 13.6954
0.8748 , 12.7973
0.8493 , 12.3483
0.8189 , 11.8993
0.7994 , 11.4502
0.7484 , 11.2257
0.6986 , 10.7767
0.6488 , 10.7767
0.5990 , 10.3277
0.5491 , 10.3277
0.4993 , 10.3277
0.4495 , 10.1032
0.3997 , 9.8786
0.3499 , 9.6541
0.3001 , 9.6541
0.2502 , 9.4296
0.2004 , 9.2051
0.1786 , 9.2051
0.1579 , 8.9806
0.1397 , 8.9806
0.1202 , 8.9806
0.0996 , 8.9806
0.0814 , 8.7561
0.0668 , 8.7561
0.0315 , 8.7561
0.0085 , 7.6335
