5AC,
X,Y
0.0961 , 131.8016
0.1107 , 132.1223
0.1513 , 133.2680
0.1999 , 134.1357
0.2486 , 134.6600
0.3037 , 135.5251
0.3556 , 135.4754
0.4043 , 136.6484
0.4546 , 136.6458
0.5065 , 137.1839
0.5162 , 137.5000
0.6038 , 137.1264
0.6135 , 137.0690
0.6995 , 137.9702
0.8033 , 138.3957
0.9023 , 138.5658
0.9477 , 139.5637
0.9672 , 139.4686
0.9850 , 140.2005
0.9996 , 141.4819
0.0827 , 130.6034
0.0669 , 127.3707
0.0511 , 126.0776
0.0401 , 124.7845
0.0292 , 123.4914
0.0207 , 120.9052
0.0170 , 115.0862
0.0122 , 109.9138
0.0073 , 104.7414
