CAC,
X,Y
0.0523 , 240.6469
0.0620 , 251.8167
0.0758 , 260.8901
0.0918 , 266.4321
0.1071 , 273.3501
0.1253 , 282.1914
0.1431 , 287.5653
0.1610 , 293.7696
0.1788 , 297.6097
0.1967 , 301.8417
0.2145 , 306.3871
0.2324 , 309.7962
0.2502 , 312.8135
0.2680 , 317.1630
0.2859 , 318.7304
0.3037 , 319.9060
0.3216 , 321.9828
0.3394 , 323.2367
0.3573 , 324.7649
0.3751 , 326.2931
0.3929 , 327.7821
0.4108 , 328.8793
0.4286 , 330.5251
0.4465 , 331.3871
0.4643 , 333.4639
0.4822 , 334.5219
0.5000 , 335.5799
0.5178 , 337.0690
0.5357 , 338.5188
0.5535 , 339.6160
0.5714 , 340.6348
0.5892 , 342.2414
0.6071 , 343.3386
0.6249 , 344.2006
0.6427 , 344.9060
0.6606 , 346.9828
0.6784 , 347.8056
0.6963 , 348.5110
0.7141 , 349.8433
0.7320 , 350.5878
0.7498 , 351.5674
0.7676 , 352.4295
0.7855 , 353.4091
0.8033 , 354.3103
0.8212 , 355.2116
0.8390 , 356.0345
0.8569 , 357.2884
0.8747 , 358.3464
0.8925 , 358.8166
0.9104 , 359.7179
0.9282 , 360.3056
0.9471 , 361.4940
0.9632 , 363.6012
0.9815 , 365.3664
0.0304 , 218.5345
0.0207 , 199.1379
0.0134 , 186.8534
0.0097 , 171.3362
0.0085 , 158.4052
0.0000 , 24.5690
0.0389 , 228.8793
